ID,Question,Answer1,Answer2,Answer3,Answer4,CorrectAnswer,Term
1,What is Form 1040?,"All taxable income received in money, goods, property, or services, before any deductions.","Reports additional taxes owed beyond the regular tax calculation, such as self-employment tax. Line 3 (like the alternative minimum tax) flows to Form 1040, line 17; line 21 (including self-employment tax) flows to Form 1040, line 23.",The main federal individual income tax return — everything else ultimately feeds into it.,"Calculates the self-employment tax owed on net earnings from self-employment. The tax carries to Schedule 2, line 4, and the deduction for half of it carries to Schedule 1, line 15.",3,Form 1040
2,What is Schedule 1?,"Reports capital gains and losses from selling investments or property. The result carries to Form 1040, line 7a.",Earned Income Tax Credit — a refundable credit for low-to-moderate-income working individuals and families.,"Reports additional income (like unemployment or business income) and adjustments to income (like student loan interest or an IRA deduction). Additional income totals on Schedule 1, line 10, flow to Form 1040, line 8; adjustments total on line 26 flow to Form 1040, line 10.","Reports profit or loss from a sole proprietorship or self-employment activity. Net profit or loss carries to Schedule 1, line 3, which flows into Form 1040, line 8.",3,Schedule 1
3,What is Schedule 2?,"Reports profit or loss from a sole proprietorship or self-employment activity. Net profit or loss carries to Schedule 1, line 3, which flows into Form 1040, line 8.",A filing status for an unmarried taxpayer who pays more than half the cost of keeping up a home for a qualifying person.,"A dependent who meets age, relationship, residency, and support tests — generally under 19, or under 24 if a full-time student.","Reports additional taxes owed beyond the regular tax calculation, such as self-employment tax. Line 3 (like the alternative minimum tax) flows to Form 1040, line 17; line 21 (including self-employment tax) flows to Form 1040, line 23.",4,Schedule 2
4,What is Schedule 3?,"Reports additional credits and payments not entered directly on Form 1040, like education credits or estimated tax payments. Nonrefundable credits on line 8 flow to Form 1040, line 20; other payments and refundable credits on line 15 flow to Form 1040, line 31.",Earned Income Tax Credit — a refundable credit for low-to-moderate-income working individuals and families.,"A tax-advantaged account for medical expenses, available to people enrolled in a qualifying high-deductible health plan. Contributions, growth, and qualified withdrawals are all tax-free.",A filing status for an unmarried taxpayer who pays more than half the cost of keeping up a home for a qualifying person.,1,Schedule 3
5,What is Schedule A?,High-Deductible Health Plan — the type of health insurance required to be HSA-eligible.,"Used to itemize deductions instead of taking the standard deduction. The total on Schedule A, line 17, carries to Form 1040, line 12e.",The main federal individual income tax return — everything else ultimately feeds into it.,"Reports mortgage interest, tuition, or student loan interest paid during the year, depending on the version. Mortgage interest typically feeds Schedule A; tuition or student loan interest versions feed education credits or the student loan interest deduction on Schedule 1, line 21.",2,Schedule A
6,What is Schedule B?,Required Minimum Distribution — the minimum amount an account owner must withdraw annually from most retirement accounts starting at a certain age.,"Reports capital gains and losses from selling investments or property. The result carries to Form 1040, line 7a.","A dependent who meets age, relationship, residency, and support tests — generally under 19, or under 24 if a full-time student.","Reports interest and dividend income over the IRS threshold that requires it to be itemized. That interest and dividend income feed Form 1040, lines 2b and 3b.",4,Schedule B
7,What is Schedule C?,"A family of forms reporting income paid to a non-employee — freelance pay, interest, dividends, and more. Which 1040 line depends on the type — for example 1099-INT feeds line 2b and 1099-DIV feeds line 3b — and any withholding shown feeds line 25b.","An additional tax, commonly 10%, for taking retirement funds out before the account's minimum age — on top of any regular income tax owed.","A taxpayer who earned income in a state without living there, typically owing tax only on income sourced to that state.","Reports profit or loss from a sole proprietorship or self-employment activity. Net profit or loss carries to Schedule 1, line 3, which flows into Form 1040, line 8.",4,Schedule C
8,What is Schedule D?,Adjusted Gross Income — gross income minus adjustments; the starting point for taxable income and eligibility for many credits.,Earned Income Tax Credit — a refundable credit for low-to-moderate-income working individuals and families.,"Calculates the self-employment tax owed on net earnings from self-employment. The tax carries to Schedule 2, line 4, and the deduction for half of it carries to Schedule 1, line 15.","Reports capital gains and losses from selling investments or property. The result carries to Form 1040, line 7a.",4,Schedule D
9,What is Schedule SE?,Your total tax divided by your total income — the average rate you actually pay.,"Calculates the self-employment tax owed on net earnings from self-employment. The tax carries to Schedule 2, line 4, and the deduction for half of it carries to Schedule 1, line 15.","Specific expenses — like IRA contributions or student loan interest — subtracted from gross income to arrive at AGI, available whether or not you itemize.",A taxpayer who moved into or out of a state during the year and files as a resident for only part of it.,2,Schedule SE
10,What is Schedule EIC?,"Reports additional taxes owed beyond the regular tax calculation, such as self-employment tax. Line 3 (like the alternative minimum tax) flows to Form 1040, line 17; line 21 (including self-employment tax) flows to Form 1040, line 23.",A filing status for an unmarried taxpayer who pays more than half the cost of keeping up a home for a qualifying person.,"Income from working — wages, salaries, tips, self-employment — as opposed to investment income.","Provides the information the IRS needs to verify a taxpayer's Earned Income Tax Credit claim. It supports the credit claimed on Form 1040, line 27a.",4,Schedule EIC
