ScenarioId,Category,Difficulty,ServSafeVersion,Scenario,Choice1,Choice2,Choice3,CorrectChoice,Explanation
1,Filing Basics & Dependents,1,8,A single mother lived with her 10-year-old son for the entire year and paid all costs of keeping up their home. What filing status should she use?,Single,Head of Household,Qualifying Surviving Spouse,2,"Head of Household requires an unmarried taxpayer who pays more than half the cost of keeping up a home for a qualifying person, like her son, for more than half the year."
2,Filing Basics & Dependents,2,8,"Divorced parents cannot agree on who claims their child. The child lived with the mother for 220 nights and the father for 145 nights during the year, and no Form 8332 was signed. Who is entitled to claim the child?","The father, because he requests it first","The mother, because the child lived with her more of the year","Either parent, split 50/50",2,"Without a signed Form 8332 release, the custodial parent - the one the child lived with for more nights during the year - is entitled to claim the child as a dependent."
3,Filing Basics & Dependents,2,8,"A 20-year-old is a full-time college student who earned $3,000 from a part-time job. Her parents provide more than half of her support. Can she still be claimed as their dependent?","No, because she has her own income","No, because she is over 18","Yes, a full-time student under 24 can still qualify if the support test is met",3,"A qualifying child can be up to age 23 if they are a full-time student, as long as the parents still provide more than half of their support."
4,Income,1,8,A taxpayer sold stock they had owned for 8 months at a gain. How is that gain taxed?,As a long-term capital gain,"As a short-term capital gain, taxed at ordinary rates",It is not taxable,2,"Assets held one year or less produce short-term capital gains, which are taxed the same as ordinary income rather than at the lower long-term rates."
5,Income,2,8,"A taxpayer received a Form 1099-G showing $2,400 in unemployment compensation. How should this be reported?",It is not taxable and does not need to be reported,It is fully taxable income reported on Schedule 1,It is taxable only if the taxpayer also had wage income,2,"Unemployment compensation is fully taxable at the federal level and is reported as income on Schedule 1, which flows to Form 1040."
6,Income,2,8,"A taxpayer won $1,500 at a casino but did not receive a Form W-2G. Do they still need to report the winnings?","No, only winnings reported on a W-2G are taxable","Yes, all gambling winnings are taxable regardless of whether a form was issued","Only if the winnings exceed $5,000",2,Gambling winnings are fully taxable as other income whether or not a Form W-2G was issued for the amount won.
7,Retirement Accounts & Distributions,1,8,"A 45-year-old withdraws $10,000 from her traditional IRA to pay for a vacation. What is the likely tax consequence?","No tax consequence, since it is her own money",The withdrawal is taxable income and likely subject to a 10% additional tax,The withdrawal is tax-free but subject to a penalty only,2,"A traditional IRA withdrawal before age 59 and a half is included in taxable income and generally triggers a 10% additional tax unless an exception applies, and a vacation is not an exception."
8,Retirement Accounts & Distributions,2,8,A taxpayer moves her entire 401(k) balance directly into a traditional IRA through a trustee-to-trustee transfer. What is the tax result?,Fully taxable in the year of the rollover,"No tax consequence, since it is a direct, properly completed rollover",Subject to the 10% early withdrawal penalty,2,A direct trustee-to-trustee rollover between qualified retirement accounts is not taxable and does not trigger the early withdrawal penalty.
9,Retirement Accounts & Distributions,2,8,"A taxpayer contributed to a Roth IRA and later withdraws only her original contributions, not earnings, at age 40. Is this withdrawal taxable?","Yes, all Roth withdrawals before 59 and a half are taxable","No, contributions can be withdrawn tax-free and penalty-free at any time",Only half of it is taxable,2,"Because Roth contributions were already taxed before going in, the contribution portion can always be withdrawn tax-free and penalty-free, regardless of age."
10,Retirement Accounts & Distributions,3,8,A taxpayer turned 50 this year and wants to maximize her traditional IRA contribution. What applies?,She can only contribute the standard limit; catch-up contributions start at 55,She is now eligible for an additional catch-up contribution on top of the standard limit,Turning 50 has no effect on IRA contribution limits,2,"Taxpayers age 50 and older are allowed an additional catch-up contribution to IRAs each year, on top of the standard contribution limit."
11,Adjustments to Income,1,8,"A self-employed taxpayer pays $6,000 in self-employment tax for the year. How much of that can he deduct as an adjustment to income?","All $6,000",One-half of the self-employment tax,None of it is deductible,2,Self-employed taxpayers can deduct one-half of their self-employment tax as an adjustment to income on Schedule 1.
