ID,Category,Fact
1,Filing Basics & Dependents,"There are five filing statuses: Single, Married Filing Jointly, Married Filing Separately, Head of Household, and Qualifying Surviving Spouse."
2,Filing Basics & Dependents,Head of Household status requires paying more than half the cost of keeping up a home for a qualifying person.
3,Filing Basics & Dependents,"A qualifying child must be under 19, or under 24 if a full-time student, or any age if permanently disabled."
4,Filing Basics & Dependents,"A qualifying child must live with the taxpayer for more than half the year, with limited exceptions."
5,Filing Basics & Dependents,A qualifying relative's gross income must be below the annual exemption threshold to be claimed as a dependent.
6,Filing Basics & Dependents,Only one taxpayer can claim a given dependent in the same tax year.
7,Filing Basics & Dependents,"Married Filing Separately often disqualifies taxpayers from several credits, including the Earned Income Tax Credit."
8,Filing Basics & Dependents,Qualifying Surviving Spouse status can be used for up to two years after a spouse's death if a dependent child lives with the taxpayer.
9,Filing Basics & Dependents,A taxpayer can be claimed as someone else's dependent even if they also file their own tax return.
10,Filing Basics & Dependents,"Support tests, relationship tests, and residency tests all factor into who qualifies as a dependent."
11,Filing Basics & Dependents,Divorced parents can only both claim the same child in alternating years if Form 8332 is used to release the claim.
12,Filing Basics & Dependents,A taxpayer's filing status is determined by their marital status as of the last day of the tax year.
13,Income,"Wages, salaries, and tips are reported to the taxpayer on Form W-2."
14,Income,Self-employment income is reported on Schedule C and flows to Schedule SE for self-employment tax.
15,Income,Interest income of $10 or more from a bank is reported on Form 1099-INT.
16,Income,Dividend income is reported on Form 1099-DIV and can be either ordinary or qualified.
17,Income,Qualified dividends are taxed at the lower long-term capital gains rates instead of ordinary income rates.
18,Income,Unemployment compensation is fully taxable at the federal level and reported on Form 1099-G.
19,Income,Short-term capital gains from assets held one year or less are taxed as ordinary income.
20,Income,Long-term capital gains from assets held more than one year get preferential tax rates.
21,Income,Social Security benefits can be partially taxable depending on the taxpayer's combined income.
22,Income,Rental income and expenses are reported on Schedule E.
23,Income,Alimony from divorce or separation agreements finalized after 2018 is not taxable income to the recipient.
24,Income,"Gambling winnings are fully taxable as other income, even if no Form W-2G was issued."
25,Retirement Accounts & Distributions,Traditional IRA contributions may be tax-deductible depending on income and workplace retirement plan coverage.
26,Retirement Accounts & Distributions,"Roth IRA contributions are never tax-deductible, but qualified withdrawals are completely tax-free."
27,Retirement Accounts & Distributions,Early withdrawals from a traditional IRA before age 59 and a half generally trigger a 10% additional tax.
28,Retirement Accounts & Distributions,Required Minimum Distributions apply to most retirement accounts once the account owner reaches the RMD age set by law.
29,Retirement Accounts & Distributions,"A 401(k) is an employer-sponsored plan, while an IRA is set up directly by the individual."
30,Retirement Accounts & Distributions,Rolling over a retirement account within 60 days generally avoids taxes and penalties on the distribution.
31,Retirement Accounts & Distributions,Distributions from a traditional IRA are taxed as ordinary income in the year received.
32,Retirement Accounts & Distributions,Roth IRA contributions can be withdrawn tax-free and penalty-free at any time since they were already taxed.
33,Retirement Accounts & Distributions,Catch-up contributions let taxpayers age 50 and older contribute more to IRAs and 401(k)s each year.
34,Retirement Accounts & Distributions,A SEP IRA lets self-employed individuals and small business owners make larger tax-deferred contributions.
35,Retirement Accounts & Distributions,Inherited IRAs generally follow different distribution rules than the original owner's account.
36,Retirement Accounts & Distributions,"The 10% early withdrawal penalty on IRAs has exceptions, including qualified higher education expenses and first-time home purchases."
37,Retirement Accounts & Distributions,"Form 1099-R reports distributions from pensions, annuities, IRAs, and other retirement plans."
38,Retirement Accounts & Distributions,Excess IRA contributions that aren't corrected in time can trigger a 6% excise tax each year they remain in the account.
39,Adjustments to Income,"Adjustments to income are subtracted from gross income to arrive at Adjusted Gross Income, or AGI."
40,Adjustments to Income,Traditional IRA deductions and student loan interest are both reported as adjustments on Schedule 1.
41,Adjustments to Income,Self-employed taxpayers can deduct one-half of their self-employment tax as an adjustment to income.
42,Adjustments to Income,Health Savings Account contributions made outside of payroll are deducted as an adjustment to income.
43,Adjustments to Income,Educator expenses let eligible teachers deduct a limited amount of out-of-pocket classroom supply costs.
44,Adjustments to Income,Student loan interest deductions phase out at higher income levels.
45,Adjustments to Income,Self-employed health insurance premiums can be deducted as an adjustment for qualifying business owners.
46,Adjustments to Income,"Adjustments to income reduce AGI, which in turn can affect eligibility for many credits and deductions."
47,Adjustments to Income,Alimony paid under a divorce agreement finalized before 2019 can still be deducted as an adjustment to income.
48,Health Savings Accounts,"To contribute to an HSA, a taxpayer must be enrolled in a High Deductible Health Plan."
49,Health Savings Accounts,HSA contributions are deductible even if the taxpayer doesn't itemize deductions.
50,Health Savings Accounts,HSA funds used for qualified medical expenses are withdrawn completely tax-free.
51,Health Savings Accounts,Unused HSA funds roll over year to year - there is no use-it-or-lose-it rule like a Flexible Spending Account.
52,Health Savings Accounts,Non-qualified HSA withdrawals before age 65 are taxable and generally hit with a 20% additional tax.
53,Health Savings Accounts,"After age 65, HSA funds can be withdrawn for any purpose without penalty, though non-medical withdrawals are still taxed as income."
54,Health Savings Accounts,"HSA contributions can come from the account holder, an employer, or both, up to the annual limit."
55,Health Savings Accounts,Family HDHP coverage allows a higher HSA contribution limit than self-only coverage.
56,Deductions,"Taxpayers choose either the standard deduction or itemized deductions, whichever gives the better tax result."
57,Deductions,Itemized deductions are reported on Schedule A and include items like mortgage interest and charitable gifts.
58,Deductions,The standard deduction amount depends on filing status and is adjusted annually for inflation.
59,Deductions,Medical expenses are only deductible to the extent they exceed a percentage-of-AGI threshold.
60,Deductions,State and local tax deductions on Schedule A are capped under current law.
61,Deductions,Charitable contributions of cash are generally deductible up to a percentage of the taxpayer's AGI.
62,Deductions,"Taxpayers who are 65 or older, or blind, get an additional amount added to their standard deduction."
63,Deductions,The Qualified Business Income deduction can give eligible pass-through business owners a deduction of up to 20% of qualified income.
64,Deductions,Mortgage interest is deductible on Schedule A for acquisition debt up to the current law's limit.
65,Tax Credits & Calculations,"A tax credit reduces tax owed dollar-for-dollar, while a deduction only reduces taxable income."
66,Tax Credits & Calculations,A refundable credit can reduce tax below zero and generate a refund; a nonrefundable credit cannot.
67,Tax Credits & Calculations,The Child Tax Credit is a per-qualifying-child credit that phases out at higher income levels.
68,Tax Credits & Calculations,The Earned Income Tax Credit is a refundable credit aimed at low-to-moderate income working taxpayers.
69,Tax Credits & Calculations,The Child and Dependent Care Credit helps offset costs paid so a taxpayer can work or look for work.
