ID,Category,Subcategory,Difficulty,Mode,OrderIndex,ConceptTitle,Content,KeyPoints
1,Filing Basics & Dependents,Filing Status,Easy,Standard,1,The Five Filing Statuses,"There are five federal filing statuses: Single, Married Filing Jointly, Married Filing Separately, Head of Household, and Qualifying Surviving Spouse. The correct status affects the standard deduction, tax brackets, and eligibility for many credits.",Single|Married Filing Jointly (MFJ)|Married Filing Separately (MFS)|Head of Household (HOH)|Qualifying Surviving Spouse (QSS)
2,Filing Basics & Dependents,Filing Status,Easy,Assessment,1,The Five Filing Statuses,"Filing status questions test whether you know all five options. Single, MFJ, MFS, HOH, and QSS are the only five - memorize the list cold.",
3,Filing Basics & Dependents,Filing Status,Easy,Recovery,1,The Five Filing Statuses,"Think of filing status as five doors, and every taxpayer walks through exactly one. Single and MFJ are the common ones, HOH and QSS have specific requirements, and MFS is the least common door.",
4,Filing Basics & Dependents,Filing Status,Easy,Standard,2,Determining Marital Status,"Filing status is based on the taxpayer's marital status on the last day of the tax year, December 31. A taxpayer who is unmarried all year files Single, and a taxpayer married as of December 31 is considered married for the whole year.",Status is set as of December 31|Married on Dec 31 = married all year|Divorced by Dec 31 = unmarried all year
5,Filing Basics & Dependents,Filing Status,Easy,Assessment,2,Determining Marital Status,The exam loves the December 31 snapshot rule. It doesn't matter if a couple married on December 30 - they're treated as married for the entire year.,
6,Filing Basics & Dependents,Filing Status,Easy,Recovery,2,Determining Marital Status,"Picture a single photo taken at midnight on December 31. Whatever your marital status is in that photo is your status for the whole year, no matter what it was in January.",
7,Filing Basics & Dependents,Filing Status,Easy,Standard,3,Married Filing Jointly Basics,"Married Filing Jointly combines both spouses' income and deductions on one return. It usually produces the lowest combined tax and is available to any legally married couple, even if only one spouse had income.",Combines both spouses' income|Usually the most favorable status|Available even with one earner|Both spouses are jointly liable for the return
8,Filing Basics & Dependents,Filing Status,Easy,Assessment,3,Married Filing Jointly Basics,"MFJ questions usually test that it's available even when only one spouse worked, and that both spouses are on the hook for the whole return.",
9,Filing Basics & Dependents,Filing Status,Easy,Recovery,3,Married Filing Jointly Basics,"Think of MFJ as merging two rivers into one - all the income and deductions flow together, and both spouses are responsible for what's downstream.",
10,Filing Basics & Dependents,Filing Status,Medium,Standard,4,Married Filing Separately Basics,"Married Filing Separately lets each spouse report only their own income and deductions, but it disqualifies the couple from several credits and often results in a higher combined tax bill. It's typically chosen for liability protection or specific tax-planning reasons.","Each spouse reports own income|Disqualifies several credits (EITC, education credits)|Often higher combined tax|Used for liability separation or planning reasons"
11,Filing Basics & Dependents,Filing Status,Medium,Assessment,4,Married Filing Separately Basics,"MFS almost always shows up on the exam as the status that loses credits. If a question mentions EITC or education credits with MFS, the answer is usually 'not allowed.'",
12,Filing Basics & Dependents,Filing Status,Medium,Recovery,4,Married Filing Separately Basics,"MFS is like keeping separate bank accounts in a marriage - it protects you from your spouse's tax problems, but you give up some perks you'd get by combining finances.",
13,Filing Basics & Dependents,Filing Status,Medium,Standard,5,Head of Household Requirements,"Head of Household requires the taxpayer to be unmarried (or considered unmarried) at year-end, pay more than half the cost of keeping up a home, and have a qualifying person live with them for more than half the year.",Must be unmarried or considered unmarried|Pay more than half the home's upkeep|Qualifying person lives there more than half the year|Better standard deduction and brackets than Single
14,Filing Basics & Dependents,Filing Status,Medium,Assessment,5,Head of Household Requirements,"HOH has three tests you need cold: unmarried status, more than half the home costs, and a qualifying person living there more than half the year. Miss any one and it's not HOH.",
15,Filing Basics & Dependents,Filing Status,Medium,Recovery,5,Head of Household Requirements,"Think of HOH as three keys that all have to turn at once: are you unmarried, are you paying most of the bills, and does someone who counts live with you more than half the year?",
16,Filing Basics & Dependents,Filing Status,Hard,Standard,6,Considered Unmarried Rule,"A married taxpayer can still qualify for Head of Household under the 'considered unmarried' rule if they lived apart from their spouse for the last six months of the year, filed a separate return, and paid more than half the cost of a home that was the main home of a qualifying child.",Lived apart from spouse last 6 months|Files a separate return|Paid more than half the home's cost|Home is the main home of a qualifying child
17,Filing Basics & Dependents,Filing Status,Hard,Assessment,6,Considered Unmarried Rule,Considered unmarried is the exception the exam loves to test. A married person can still file HOH if they lived apart from their spouse the last six months of the year and meet the other tests.,
18,Filing Basics & Dependents,Filing Status,Hard,Recovery,6,Considered Unmarried Rule,"Picture a couple who split up in June but never finalized a divorce. As long as they lived apart for the last six months and the taxpayer covers the home for their kid, the tax code treats them as unmarried for HOH purposes.",
19,Filing Basics & Dependents,Filing Status,Medium,Standard,7,Qualifying Surviving Spouse,"Qualifying Surviving Spouse status is available for up to two tax years after a spouse's death, as long as the taxpayer has a dependent child living with them and paid more than half the cost of keeping up the home. It uses the same standard deduction and tax brackets as Married Filing Jointly.",Available up to 2 years after spouse's death|Requires a dependent child in the home|Must pay more than half of home upkeep|Same brackets/deduction as MFJ
20,Filing Basics & Dependents,Filing Status,Medium,Assessment,7,Qualifying Surviving Spouse,"QSS questions test the two-year window and the dependent child requirement. No dependent child living in the home means no QSS, no matter how recently the spouse died.",
