ID,DOT,Question,Answer1,Answer2,Answer3,Answer4,CorrectAnswer,Category,Subcategory,Explanation,MustInclude,Difficulty,Language,Region,Product,PresenterContent,ContentSlide,JeopardyBoard,Reserved3,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Reserved11,Reserved12,Reserved13,Reserved14,Reserved15
10000,,What is the primary purpose of Form W-2?,To summarize a taxpayer's total earnings and prepayments for the year,To report self-employment income only,To report state sales tax collected,To request a filing extension,1,Filing Basics & Dependents,Form W-2,Form W-2 summarizes a taxpayer's total earnings and prepayments and is the primary document employers use to report wages for calculating tax liability.,1,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10001,,Which W-2 box reports Social Security wages (income subject to Social Security tax)?,Box 1,Box 2,Box 3,Box 4,3,Filing Basics & Dependents,Form W-2,Box 3 reports Social Security wages; Box 4 reports the Social Security tax actually withheld on that amount.,1,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10002,,What is the base Medicare tax withholding rate shown in W-2 Box 6?,1.45%,6.20%,2.90%,3.80%,1,Filing Basics & Dependents,Form W-2,The base Medicare withholding rate is 1.45% of Medicare wages (Box 5).,0,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10003,,Which W-2 box uses codes to represent other compensation or reductions applicable to an individual's taxable income?,Box 10,Box 11,Box 12,Box 14,3,Filing Basics & Dependents,Form W-2,Box 12 (a-d) uses letter codes to represent various types of other compensation or pre-tax reductions.,0,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10004,,Where are dependent care benefits reported on Form W-2?,Box 10,Box 1,Box 12,Box 14,1,Filing Basics & Dependents,Form W-2,"Box 10 reports dependent care benefits, which can affect the dollar limit used to calculate the Child and Dependent Care Credit.",0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10005,IRC §61(a),What is the correct order of steps to calculate a taxpayer's final tax due or refund?,Gross income minus adjustments = AGI; AGI minus standard/itemized deductions = taxable income; taxable income x tax rate = gross tax liability; gross tax liability minus credits minus prepayments = final tax due or refund,Taxable income minus credits = AGI; AGI minus adjustments = gross income,Gross tax liability minus adjustments = AGI; AGI x tax rate = final tax due,Prepayments minus credits = AGI; AGI minus deductions = final tax due,1,Tax Credits & Calculations,Tax Liability Formula,The formula flows: Gross income - adjustments = AGI; AGI - deductions = taxable income; taxable income x rate = gross tax liability; liability - credits - prepayments = amount due or refund.,1,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10006,,"A taxpayer has a tax liability of $5,223 and qualifies for a $1,200 Child and Dependent Care Credit. Since this credit is nonrefundable, what happens?","Liability is reduced to $4,023; no refund is generated from the credit","The taxpayer receives the full $1,200 as a refund",The credit is lost entirely because liability wasn't zeroed out,The credit converts to a carryforward automatically,1,Tax Credits & Calculations,Refundable vs Nonrefundable Credits,"Nonrefundable credits reduce liability dollar-for-dollar but cannot create a refund: $5,223 - $1,200 = $4,023 remaining balance.",0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10007,,"A taxpayer owes $1,000 in tax and qualifies for a $1,500 refundable Earned Income Tax Credit. What is the result?",The taxpayer gets a $500 refund,The taxpayer's liability is reduced to $0 with no refund,The taxpayer still owes $500,The excess $500 is forfeited,1,Tax Credits & Calculations,Refundable vs Nonrefundable Credits,"Refundable credits can exceed liability and pay out the difference: $1,500 - $1,000 = $500 refund.",1,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10008,,Which of the following is a nonrefundable tax credit?,Child and Dependent Care Credit,Earned Income Tax Credit,Adoption Credit (fully),American Opportunity Tax Credit,1,Tax Credits & Calculations,Refundable vs Nonrefundable Credits,"The Child and Dependent Care Credit is nonrefundable. EITC is fully refundable, AOTC is partially refundable, and the Adoption Credit is partially refundable up to $5,000 if liability is reduced to $0.",1,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10009,,"For 2024, what is the maximum Child Tax Credit per qualifying child under 17?","$2,000 ","$1,000 ","$3,000 ","$2,500 ",1,Tax Credits & Calculations,Child Tax Credit & Related,"The 2024 Child Tax Credit is $2,000 per qualifying child under 17, subject to income limits, and is nonrefundable (though a portion may be claimed via the Additional Child Tax Credit).",1,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10010,,The Credit for Other Dependents applies to which of these situations?,"A disabled relative of any age, or a dependent over 17 who is a student, who does not qualify for the Child Tax Credit",Only children under age 6,Only a taxpayer's spouse,Only children who qualify for the EITC,1,Tax Credits & Calculations,Child Tax Credit & Related,"The Credit for Other Dependents covers a dependent who doesn't meet the Child Tax Credit's age/relationship rules but otherwise qualifies as a dependent, such as a disabled relative of any age.",0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10011,,What is the Additional Child Tax Credit (ACTC)?,The refundable portion of the nonrefundable Child Tax Credit,A separate credit unrelated to the CTC,A credit only available to childless workers,A credit that replaces the standard deduction,1,Tax Credits & Calculations,Additional Child Tax Credit,"The CTC itself is nonrefundable, but a limited amount (2024 max $1,700 per qualifying child) can be claimed as refundable through the ACTC, provided the taxpayer reports at least $2,500 of earned income.",0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10012,,"If the Adoption Credit reduces a taxpayer's liability to $0 with credit still remaining, what happens to the excess?","Up to $5,000 of the remaining credit is refundable; any further excess carries forward up to 5 years",The entire excess is refunded,The excess is forfeited entirely,The excess automatically becomes a Child Tax Credit,1,Tax Credits & Calculations,Adoption Credit,"The Adoption Credit is partially refundable: up to $5,000 of the remaining amount is refundable, and any unused balance beyond that carries forward for up to 5 years.",0,3,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10013,,Which version of Form 1040 is designed for taxpayers age 65 and older?,Form 1040-SR,Form 1040-NR,Form 1040-X,Form 1040-EZ,1,Filing Basics & Dependents,Form Variants,"Form 1040-SR is designed for senior taxpayers age 65+. Form 1040-NR is for non-U.S. citizens without a green card, and Form 1040-X is used to amend a previously filed return.",1,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10014,,Which form should a taxpayer file to amend a previously filed Form 1040?,Form 1040-X,Form 1040-SR,Form 1040-NR,Form 4972,1,Filing Basics & Dependents,Form Variants,Form 1040-X is used specifically to amend a previously filed Form 1040.,0,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10015,,"A taxpayer receives a Form 1099-INT with $4,525 in Box 1 (taxable interest) and $200 in Box 8 (tax-exempt municipal bond interest). How should this be reported on Form 1040?","Line 2a (tax-exempt) = $200; Line 2b (taxable) = $4,525","Line 2a = $4,525; Line 2b = $200",Both amounts combined on Line 2a,Both amounts combined on Line 2b,1,Filing Basics & Dependents,Interest Income Placement,Line 2a is for tax-exempt interest (Box 8) and Line 2b is for taxable interest (Box 1). Entering taxable Box 1 interest on Line 2a is a common error.,1,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10016,,"A taxpayer's Form 1099-INT shows Box 1 (interest income) $4,525, Box 3 (U.S. Savings Bond/Treasury interest) $100, and Box 8 (tax-exempt interest) $200. What are the correct Form 1040 line entries?","Line 2a = $200; Line 2b = $4,625 (Box 1 + Box 3)","Line 2a = $4,625; Line 2b = $200","Line 2a = $300; Line 2b = $4,525","Line 2a = $0; Line 2b = $4,825",1,Filing Basics & Dependents,Interest Income Placement,"Box 1 and Box 3 are both taxable and combine on Line 2b ($4,525 + $100 = $4,625); Box 8 tax-exempt interest goes on Line 2a alone ($200).",0,3,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10017,,"Which box on Form 1099-R reports the taxable amount of a retirement, pension, or annuity distribution that flows into Form 1040's income section?",Box 2a,Box 1,Box 7,Box 4,1,Filing Basics & Dependents,Retirement Income Reporting,"Box 2a of Form 1099-R shows the taxable amount of the distribution, which flows into the income section of Form 1040.",0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
